A01A	STOMATOLOGICAL PREPARATIONS	"metronidazole,minocycline,dexamethasone"	"A01AC02,A01AB23,A01AB17"
N05C	HYPNOTICS AND SEDATIVES	"midazolam,dexmedetomidine"	"N05CD08,N05CM18"
N06A	ANTIDEPRESSANTS	"fluoxetine,vortioxetine,bupropion,escitalopram,agomelatine,trimipramine,milnacipran,tianeptine,mirtazapine,venlafaxine,sertraline,desipramine,duloxetine,nortriptyline,imipramine,mianserin,nefazodone,fluvoxamine,clomipramine,amitriptyline,paroxetine,doxepin,citalopram"	"N06AB04,N06AX17,N06AX21,N06AB10,N06AB05,N06AA10,N06AA02,N06AX14,N06AX22,N06AX12,N06AB03,N06AB08,N06AA12,N06AB06,N06AA01,N06AX26,N06AA06,N06AX16,N06AA04,N06AX06,N06AX11,N06AX03,N06AA09"
N06B	PSYCHOSTIMULANTS	"modafinil,methylphenidate,caffeine,atomoxetine"	"N06BA04,N06BA09,N06BC01,N06BA07"
N06D	ANTI-DEMENTIA DRUGS	"memantine,galantamine,donepezil,rivastigmine"	"N06DA04,N06DA03,N06DA02,N06DX01"
N07B	DRUGS USED IN ADDICTIVE DISORDERS	"acamprosate,naltrexone,nicotine,buprenorphine,disulfiram,methadone,varenicline"	"N07BB01,N07BC02,N07BC01,N07BA03,N07BB04,N07BB03,N07BA01"
P01A	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	metronidazole	P01AB01
P01B	ANTIMALARIALS	"artesunate,pyrimethamine,amodiaquine,primaquine"	"P01BA06,P01BA03,P01BE03,P01BD01"
P03A	ECTOPARASITICIDES	disulfiram	P03AA04
R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	"ephedrine,nedocromil,phenylephrine,flunisolide,prednisolone,triamcinolone,budesonide,dexamethasone"	"R01AB01,R01AB05,R01AD02,R01AD11,R01AA04,R01AD04,R01AA03,R01AC07,R01AD03,R01AD05"
R03A	ADRENERGICS	"salbutamol,salmeterol,terbutaline"	"R03AC12,R03AC02,R03AC03"
R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	"triamcinolone,flunisolide,nedocromil,budesonide"	"R03BA06,R03BC03,R03BA02,R03BA03"
R03C	ADRENERGICS FOR SYSTEMIC USE	"ephedrine,salbutamol,terbutaline"	"R03CC03,R03CC02,R03CA02"
R03D	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	montelukast	R03DC03
R05C	EXPECTORANTS	"acetylcysteine,carbocisteine"	"R05CB01,R05CB03"
R05D	COUGH SUPPRESSANTS	"dextromethorphan,hydrocodone,ethylmorphine,codeine"	"R05DA01,R05DA04,R05DA03,R05DA09"
R06A	ANTIHISTAMINES FOR SYSTEMIC USE	"desloratadine,fexofenadine,mizolastine"	"R06AX26,R06AX25,R06AX27"
S01A	ANTIINFECTIVES	"trifluridine,erythromycin,gentamicin"	"S01AD02,S01AA11,S01AA17"
S01B	ANTIINFLAMMATORY AGENTS	"diclofenac,piroxicam,triamcinolone,prednisolone,flurbiprofen,dexamethasone,ketorolac"	"S01BC04,S01BA04,S01BC03,S01BC06,S01BA05,S01BC05,S01BA01"
S01C	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION	"prednisolone,dexamethasone"	"S01CB01,S01CB02"
S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	"latanoprost,clonidine,timolol,methazolamide"	"S01ED01,S01EC05,S01EA04,S01EE01"
S01F	MYDRIATICS AND CYCLOPLEGICS	"ephedrine,phenylephrine"	"S01FB02,S01FB01"
S01G	DECONGESTANTS AND ANTIALLERGICS	"phenylephrine,nedocromil"	"S01GX04,S01GA05"
S01L	OCULAR VASCULAR DISORDER AGENTS	"ranibizumab,pegaptanib"	"S01LA03,S01LA04"
S01X	OTHER OPHTHALMOLOGICALS	"sirolimus,ethylmorphine,acetylcysteine"	"S01XA06,S01XA23,S01XA08"
S02A	ANTIINFECTIVES	gentamicin	S02AA14
S02B	CORTICOSTEROIDS	"prednisolone,dexamethasone"	"S02BA03,S02BA06"
S03A	ANTIINFECTIVES	gentamicin	S03AA06
S03B	CORTICOSTEROIDS	"prednisolone,dexamethasone"	"S03BA01,S03BA02"
V04C	OTHER DIAGNOSTIC AGENTS	"tolbutamide,folic acid,methacholine"	"V04CA01,V04CX02,V04CX03"
