PA166123407	abiraterone	Abiraterone	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L02B	Other hormone antagonists and related agents	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Other hormone antagonists and related agents	L02BX03	NA	L02B	HORMONE ANTAGONISTS AND RELATED AGENTS
PA449760	glatiramer acetate	Glatiramer Acetate	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Other immunostimulants	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Other immunostimulants	L03AX13	NA	L03A	IMMUNOSTIMULANTS
PA164779048	"interferon alfa-2a, recombinant"	"Interferon Alfa-2A, Recombinant"	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Immunostimulants drugs	Antineoplastic and immunomodulating agents	Immunostimulants drugs	L03AB04	NA	L03A	IMMUNOSTIMULANTS
PA164783990	"interferon alfa-2b, recombinant"	"Interferon Alfa-2B, Recombinant"	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Immunostimulants drugs	Antineoplastic and immunomodulating agents	Immunostimulants drugs	L03AB05	NA	L03A	IMMUNOSTIMULANTS
PA450037	interferon beta-1a	Interferon Beta-1A	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Interferons	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Interferons	L03AB07	NA	L03A	IMMUNOSTIMULANTS
PA450039	interferon beta-1b	Interferon Beta-1B	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Immunostimulants drugs	Antineoplastic and immunomodulating agents	Immunostimulants drugs	L03AB08	NA	L03A	IMMUNOSTIMULANTS
PA164784024	peginterferon alfa-2b	Peginterferon Alfa-2B	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L03A	Interferons	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Interferons	L03AB10	NA	L03A	IMMUNOSTIMULANTS
PA164783958	alemtuzumab	Alemtuzumab	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L04A	Selective immunosuppressants	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Selective immunosuppressants	L04AA34	NA	L04A	IMMUNOSUPPRESSANTS
PA450595	naproxen	Naproxen	G	MUSCULO-SKELETAL SYSTEM	G02	Antiinflammatory preparations	MUSCULO-SKELETAL SYSTEM	Antiinflammatory preparations	M01AE02	NA	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
PA451268	rofecoxib	Rofecoxib	M	MUSCULO-SKELETAL SYSTEM	M01	Coxibs	MUSCULO-SKELETAL SYSTEM	Coxibs	M01AH02	NA	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
